date,benzina,gasolio
2016-11-28,1.46814,1.32087
2016-12-05,1.4786,1.33267
2016-12-12,1.49934,1.35005
2016-12-19,1.50888,1.36906
2017-01-02,1.53552,1.3919
2017-01-09,1.55003,1.4049
2017-01-16,1.54749,1.40012
2017-01-23,1.54475,1.39733
2017-01-30,1.54374,1.39546
2017-02-06,1.546,1.3976
2017-02-13,1.54955,1.39997
2017-02-20,1.55514,1.40269
2017-02-27,1.55524,1.403
2017-03-06,1.55519,1.40359
2017-03-13,1.5489,1.402
2017-03-20,1.53901,1.39357
2017-03-27,1.53213,1.38731
2017-04-03,1.52707,1.383
2017-04-10,1.53809,1.39261
2017-04-24,1.55928,1.41049
2017-05-01,1.55583,1.40552
2017-05-08,1.53966,1.3917
2017-05-15,1.52924,1.3788
2017-05-22,1.52519,1.376
2017-05-29,1.52383,1.37587
2017-06-05,1.51938,1.3707
2017-06-12,1.51193,1.36125
2017-06-19,1.50293,1.35291
2017-06-26,1.49026,1.34164
2017-07-03,1.48899,1.33733
2017-07-10,1.49068,1.33842
2017-07-17,1.48733,1.33472
2017-07-24,1.48983,1.33686
2017-07-31,1.49419,1.34145
2017-08-07,1.49719,1.35186
2017-08-14,1.49851,1.35375
2017-08-21,1.49935,1.35498
2017-08-28,1.4993,1.3539
2017-09-04,1.50866,1.35852
2017-09-11,1.52342,1.36886
2017-09-18,1.52496,1.37548
2017-09-25,1.52154,1.37324
2017-10-02,1.52548,1.38285
2017-10-09,1.52577,1.38477
2017-10-16,1.52414,1.38278
2017-10-23,1.52378,1.38846
2017-10-30,1.52424,1.39036
2017-11-06,1.5329,1.40176
2017-11-13,1.54413,1.41362
2017-11-20,1.5478,1.41731
2017-11-27,1.54564,1.41488
2017-12-04,1.54584,1.41573
2017-12-11,1.54357,1.41331
2017-12-18,1.54932,1.42035
2018-01-01,1.55454,1.42658
2018-01-08,1.56151,1.43568
2018-01-15,1.56662,1.44124
2018-01-22,1.57137,1.44652
2018-01-29,1.57283,1.44778
2018-02-05,1.57342,1.44759
2018-02-12,1.56991,1.44329
2018-02-19,1.55348,1.42446
2018-02-26,1.54671,1.41868
2018-03-05,1.54887,1.42466
2018-03-19,1.5442,1.41938
2018-03-26,1.54708,1.42282
2018-04-02,1.55406,1.42997
2018-04-09,1.55626,1.43251
2018-04-16,1.56298,1.4393
2018-04-23,1.57332,1.45022
2018-04-30,1.58517,1.4629
2018-05-07,1.5926,1.47026
2018-05-14,1.60599,1.48345
2018-05-21,1.62324,1.50152
2018-05-28,1.64244,1.52122
2018-06-04,1.64866,1.52871
2018-06-11,1.64807,1.52815
2018-06-18,1.64527,1.52476
2018-06-25,1.63672,1.51628
2018-07-02,1.63224,1.51155
2018-07-09,1.63266,1.51189
2018-07-16,1.6324,1.51094
2018-07-23,1.6293,1.50711
2018-07-30,1.6277,1.50534
2018-08-06,1.62876,1.5062
2018-08-13,1.6293,1.50587
2018-08-20,1.62786,1.50512
2018-08-27,1.62898,1.50686
2018-09-03,1.63366,1.51318
2018-09-10,1.64255,1.52447
2018-09-17,1.64269,1.52541
2018-09-24,1.6418,1.52491
2018-10-01,1.6442,1.5284
2018-10-08,1.65758,1.54839
2018-10-15,1.66505,1.56552
2018-10-22,1.66121,1.56714
2018-10-29,1.6557,1.56531
2018-11-05,1.64926,1.56223
2018-11-12,1.63686,1.55438
2018-11-19,1.61937,1.5438
2018-11-26,1.59569,1.52655
2018-12-03,1.5653,1.50148
2018-12-10,1.5335,1.47467
2018-12-17,1.52036,1.46096
2019-01-07,1.486,1.42888
2019-01-14,1.48255,1.42601
2019-01-21,1.49159,1.43628
2019-01-28,1.4945,1.44068
2019-02-04,1.49938,1.44562
2019-02-11,1.50824,1.45168
2019-02-18,1.51776,1.46193
2019-02-25,1.53468,1.47985
2019-03-04,1.54233,1.48687
2019-03-11,1.54872,1.49317
2019-03-18,1.55403,1.49638
2019-03-25,1.56282,1.49719
2019-04-01,1.57356,1.49771
2019-04-08,1.5886,1.49916
2019-04-15,1.60464,1.5055
2019-04-22,1.61523,1.51149
2019-04-29,1.62587,1.5197
2019-05-06,1.62781,1.51907
2019-05-13,1.62582,1.51833
2019-05-20,1.62417,1.51775
2019-05-27,1.63114,1.52463
2019-06-03,1.6219,1.51436
2019-06-10,1.60595,1.49742
2019-06-17,1.59579,1.48677
2019-06-24,1.59001,1.48069
2019-07-01,1.58876,1.47885
2019-07-08,1.59042,1.4809
2019-07-15,1.59675,1.48447
2019-07-22,1.59993,1.48701
2019-07-29,1.59201,1.47829
2019-08-05,1.59234,1.47879
2019-08-12,1.57993,1.46693
2019-08-19,1.5718,1.4588
2019-08-26,1.56866,1.45684
2019-09-02,1.56606,1.455
2019-09-09,1.56519,1.45498
2019-09-16,1.5705,1.46315
2019-09-23,1.58968,1.48309
2019-09-30,1.59192,1.48567
2019-10-07,1.58551,1.47913
2019-10-14,1.57907,1.47295
2019-10-21,1.57444,1.46994
2019-10-28,1.57189,1.46793
2019-11-04,1.57241,1.46923
2019-11-11,1.57373,1.47029
2019-11-18,1.57381,1.46999
